HOLDER,SUBJECT
INTERNATIONAL FLAVORS AND FRAGRANCES INC,AVICEL MICROCRYSTALLINE CELLULOSE
FIS FABBRICA ITALIANA SINTETICI SPA,NITROFURANTOIN & NITROFURANTOIN MACROCRYSTALS
PRODOTTI CHIMICI DOTTORI RE,NITROFURANTOIN
INDUSTRIA CHEMICA PRODOTTI FRANCIS SPA,CHLOROTHIAZIDE (BULK) - HYDROCHLOROTHIAZIDE
"ALLIED MILLS, INC.",FEED MANUF PLANTS AND CONTROL LABORATORIES WAYNE FEEDS
RT VANDERBILT CO INC,VANCIDE ZP AND VANCIDE ZP DISPERSION
RT VANDERBILT CO INC,VANCIDE BL
RT VANDERBILT CO INC,VANCIDE BN
RT VANDERBILT CO INC,METHYL TUADS
PHARMACIA LABORATORIES INC,RHEOMACRODEX
SB PENICK AND CO,BENZOMETHAMINE CHLORIDE
ELANCO PRODS DIV ELI LILLY AND CO,HYGROMIX - CHICKENS
RHODIA INC,PIPERACETAZINE
ALFA WASSERMANN SPA,TOLBUTAMIDE BULK
FIS FABBRICA ITALIANA SINTETICI SPA,CHLORDIAZEPOXIDE HCL
INDUSTRIA CHIMICA MILANESE SPA,PROCHLORPERAZINE MALEATE
INDUSTRIA CHIMICA MILANESE SPA,CHLORPROMAZINE HYDROCHLORIDE
SYNTEX SA,2a-METHYL-DIHYDROTESTOSTERONE (CRYSTALLINE)
EI DUPONT DE NEMOURS AND CO INC,BAYMAL COLLOIDAL ALUMINA
DOW CHEMICAL CO,BROMINATED SALICYLANILIDE
STRONG COBB ARNER INC,MATRIX GEL SUSTAINED RELEASE SYSTEM
EI DUPONT DE NEMOURS AND CO INC,TEREPHTHALIC ACID IN COMBINATION W/ TETRACYCLINES MED. TURKEY FEEDS
METAL AND THERMIT CORP,STANNOUS FLUORIDE
CHAS PFIZER AND CO INC,TEREPHTHALIC ACID IN POULTRY FEEDS CONTAINING OXYTETRACYCLINE
ARAPAHOE CHEMICALS INC DIV SYNTEX LABORATORIES INC,HYDROXYPHENAMATE
RT VANDERBILT CO INC,VANCIDE 2b
BAXTER LABS INC DIV TRAVENOL LABS INC,TYROTHRICIN CHEMPLEXES
ALFA WASSERMANN SPA,MEPROBAMATE
PACO PACKAGING INC,PHARMACEUTICAL PACKAGING OPERATION
CONTINENTAL CAN COMPANY,CONALOY (EXTERNAL)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ARSANILIC ACID (SODIUM ARSANILATE)
SEARLE CHEMICALS INC SUB GD SEARLE AND CO,"ANAVAR, PESA"
ELANCO DIV ELI LILLY AND CO,CHYMOTRYPSIN TRYPSIN CRYSTALLIZED
SALSBURY LABS,3-NITRO-4-HYDROXYPHENYLARSONIC ACID
ROHM AND HAAS CO,ASPERKINASE PRODUCTION
METAL AND THERMIT CORP,STANNOUS OCTOATE
MARKEM IMAJE CORP,INKS USED ON CAPSULES & TABLETS
ICI AMERICAS INC,STANDARD DRUG MIXTURE #35--SDM#35
YARDLEY ELECTRIC CORP,AGOSAN
BD MEDICAL - PHARMACEUTICAL SYSTEMS,BD GLASS PREFILLABLE SYRINGE (PFS)
PRIVATE BRANDS CO,PACKAGING AND CONTROL SPECIFICATIONS
DEPT DEFENSE,2 PAM CHLORIDE
SCHERING AG,17 ALPHA-ETHINYL-19-NOR-TESTOSTERONE
PENTAPHARM AG,REPTILASE
RHODIA INC,DIMETRIDAZOLE [EMTRYL]
ALLERGAN SPA,5-IODODEOXYURIDINE (5IUDR)
DOG LIFE CORP,TABLETTING MIXURE AND FLAVORING TECHNIQUES
SPECIALTY PRODUCTS US LLC,SENTRY POLYOX WATER SOLUBLE RESINS - NF GRADE
ROHM AND HAAS CO,RHOZYME J-25 CONCENTRATE
GIST-BROCADES NV PHARMACEUTICALS,FLURANDRENOLONE ACETATE
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"ULTRAVIOLET ABSORBERS (U.V.Q, U.V. 24, & U.V.24 PHARMACEUTICAL GRADE)"
SCHERING AG,17A-ETHINYL-19-NOR-TESTOSTERONE ACETATE
PILLSBURY CO,PROCESS EQUIPMENT AND PROCEDURES
LEEDS-DIXON LABORATORIES INC,OPERATING PROCEDURES
ORGANON INC,DEXAMETHASONE
COOPERATIVE MILLS,"METHODS USED IN MANUFACTURING, PROCESSING AND PACKING DRUGS"
PFIZER AND CO,CURRICULA VITAE
TANABE SEIYAKU CO LTD,DL-CARNITINE HYDROCHLORIDE
WEST CO,PLEASE REFER TO DMF 1545 AMD/OR DMF 1546 WHICH REPLACE DMF 524
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,"ORGANIC CHEMICAL RSCH SECTION, PERSONNEL QUALIFICATIONS"
ALABAMA FLOUR MILLS,RED HAT BROILER CONCENTRATE NON-MEDICATED FEEDS
CALBIOCHEM CORP,5-IODO-2-DEOXYURIDINE
SMITH KLINE AND FRENCH LABORATORIES,SK&F LABS PERSONNEL SUMMARY OF TRAINING AND EXPERIENCE
SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,5-IODO-2-DEOXYURIDINE (IUDR)
ALBERS MILLING CO,EQUIPMENT & CONTROL PROCDS FOR MANUF MEDICATED FEEDS FOR ALBERS FEED
CHEMAGRO CORP,STUDY RESIDUE PROBLS RELATED TO U/OF EXPERIMENTAL ORGANOPHOSPHORUS COM
PARKE DAVIS AND CO,"QUALIFICATIONS OF PARKE, DAVIS & CO. RESEARCH PERSONNEL"
RHODIA INC,ETHOPROPAZINE
MASON KELLER CORP,MASON-KELLER CORPORATION
GANES CHEMICALS INC PENNSVILLE DIV,7 BETA-HYDROXYPROPYL THEOPHYLLINE
WYETH INC,INVESTIGATIONAL NEW DRUG MASTER FILE
SALSBURY LABS,EMTRYL TABLETS
ORGANON INC,DEXAMETHASONE
MALLINCKRODT INC,INVESTIGATIONAL DRUGS
WITHMORE FEEDS INC,36% POULTRY CONCENTRATE 291A /44% BROILER CONCENTRATE UNMEDICATED 190A
OZARK MAHONING CO,SODIUM MONOFLUOROPHOSPHATE
"NUTRENA MILS, DIV OF CARGILL, INC.","FACILITIES FOR CARGILL, INC (THIS IS A VET DMF)"
STERLING-WINTHROP RES INST DIV STERLING DRUG INC,INVESTIGATIONAL EXEMPTION FOR WIN 5063 (VETERINARY USE)
BURROUGHS WELLCOME CO,DARVISIL
MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,THIABENDAZOLE
ARMOUR PHARMACEUTICAL CO,CHYMOTRYPSIN CRYSTALLIZED
ONYX CHEM CO DIV MILLMASTER ONYX CORP,ISOTHAN Q-75
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,M-259 (NSC 51954)
CHEMAGRO CORP,BAYER 2353 (YOMESAN)
ICI AMERICAS INC,BRIJ 30 POLYOXYETHYLENE (4) LAURYL ETHER
RHODIA INC,"FLAVORS: PHARMACEUTICAL FLAVOR RF451, IMITATION FLAVOR 520B"
DOW CHEMICAL CO,TROLENE FM MEDICATED PREMIX
AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,"STUDIES ON ORBENIN, CLOXACILLIN , BRI 1621 , AY 6203"
WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,PERSONNEL FACILITIES AND OPERATING PROCEDURE
BAXTER LABS INC DIV TRAVENOL LABS INC,RESEARCH AND DEVELOPMENT GROUP
UPJOHN CO,"BULK CHEMICALS , METHOD OF PREPARATION"
STERLING-WINTHROP RES INST DIV STERLING DRUG INC,"INVESTIGATIONAL EXEMPTION FOR WIN 18,320-3 (VETERINARY USE)"
STERLING-WINTHROP RES INST DIV STERLING DRUG INC,"COMBINED W/INVEST. EXEMPTION FOR WIN 18,320-3"
NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,STATEMENT OF PERSONNEL FACILS AND CONTROLS FOR PROCESSING A NEW DRUG
3M PHARMACEUTICALS,INVESTIGATIONAL NEW DRUG PROCEDURES
SYNTEX SA,"INVESTIGATIONAL DRUG, 6APLHS-FLUORO-16-ALPHA-HYDROCORTISOME"
SB PENICK AND CO,BISMUTH SUBSALICYLATE PASTE
SB PENICK AND CO,DOXAPRAM HCL; AHR-619
CUTTER BIOLOGICAL DIV MILES LABORATORIES INC,"MANUF RESCH AND PERSONNEL FILE RSCH FACILS, EQUIPMENT & CONTROLS 11-16"
RHODIA INC,SPIRAMYCIN
RHODIA INC,METHOTRIMEPRAZINE
RHODIA INC,ISOMETAMIDIAM
RHODIA INC,HEVOPHACETOPERANE (LIDEPRAN)(RP8228) HCL
BURROUGHS WELLCOME CO,PERTINANT DATA ON THE RESEARCH ACTIVITIES
FARM BUREAU SERVICES,DEALERS USING THIS MASTER FILE AND MILL LOCATION
ORGANON INC,DEXAMETHASONE 21-PHOSPHATE
CIBA GEIGY CORP PHARMACEUTICAL DIVISION,"PERSONNEL, FACILITIES & TESTING PROCEDS, AND LABELING INVEST DRUGS"
AYERST LABORATORIES INC DIV AMERICAN HOME PRODUCTS CORP,METHYRIDINE
SANDOZ CONSUMER PHARMACEUTICALS DIV,DORSEY LABORATORIES
INOLEX CHEMICAL CO,MANUF PROCEDURE FOR HIGH POTENCY LIPASE
DOW CHEMICAL CO,"INVESTIGATIONAL DRUG ""MASTER FILE"" FOR FUTURE REFS NOTICES T/B SUBMITT"
NATIONAL INSTITUTES OF HEALTH CLINICAL CENTER,COOPERATIVE STUDY GROUPS OF CLINICAL STUDIES PANEL
PARKE DAVIS AND CO,VIRAL AND BACTERIAL VACCINES
SANDOZ PHARMACEUTICALS CORP DIV SANDOZ INC,INVESTIGATIONAL DRUGS
ROUSSEL CORP,INOSITOL HEXANICOTINATE
AMERICAN CYANAMID CO,"CL 45,167 OR STYRYLPYRIDINIUM (INVESTIGATIONNAL DRUG)"
AMERICAN CYANAMID CO,"STYRYLQUINOLINIUM (CL40,001) INVESTIGATIONAL USE"
AMERICAN CYANAMID CO,SULFAETHOXYPYRIDAZINE W/& WITHOUT CHLORTETRACYCTINE IN SWINE FEED EXP
NOVO INDUSTRI AS,CRYSTALLINE TRYPSIN - NOVO DELETED 10 - 11 - 63
ALBERS MILLING CO.,ALBERS LAB - MIX POULTRY
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,TRIAMTERENE
SYNTEX LABORATORIES INC SUB SYNTEX CORP,(VET) 6-ALPHA-9-A-DIFLUORO-16-A-METHYL PREDNISOLONE DESIGNATED RS 2177
AH ROBINS CO,"FACILITIES, METHODS AND PERSONNEL INVESTIGATIONAL DRUG"
MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,HADACIDIN SOD. DIHYDRATE (NSC 521778) & HADACIDIN POTASS. NSC 72962
WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,"W 3361, A LIQUID ANTACID FORMULATION ---CHITOSAN ANTACID"
"CORVEL, INC.",TYLOSIN; DIHYDROSTREPTOMYCIN; VIT. A & D ARE ACT. INGREDS. (VET MED)
WYETH INC,GENERAL INFO DISCONTINUED INVESTIGATIONAL DRUGS
WARNER LAMBERT CO PHARMACEUTICAL RESEARCH DIV,GENERAL INFO DISCONTINUED INVESTIGATIONAL DRUGS
PROCTER AND GAMBLE CO,COMPANY'S PROCEDURES FOR TESTING NDA PRIOR TO SUBMITTING FOR APPROVAL
WALLERSTEIN,DIHYDROXYACETONE (THIS DMF SENT TO COLOR ADD. ON 9.6.63)
SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,CYTOMEL IMPLANT PELLETS (VET)
DOMINION PRODUCTS INC,PHARMACEUTICAL FLAVORS #124-B-12 & 121-B-12
PABST LABORATORIES DIV PABST BREWING CO,5-IODO-2'-DEOXYURIDINE
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"SPECTINOMYCIN (M-141, ABBOTT) (VET)"
ABBOTT LABORATORIES,2-(2-FORMYLHYDRAZINO)-4-(5-NITRO-2-FURYL)-THIAZOLE (AS-L7665)&A-2L203
DOW CHEMICAL CO,PROPYLENE GLYCOL--TRADE NAME SIRLENE (VET)
ELANCO DIV ELI LILLY AND CO,"INVEST DRUG STREPTOMYCIN,TYLOSIN, ERYTHROMYCIN & PENICILLIN BOLUS(VET)"
SOLVAY PHARMACEUTICALS,GENERAL INFO-DISCN. INVESTIGATIONAL DRUGS
JT BAKER CHEMICAL CO,DIETHYLPROPION
FORT DODGE LABORATORIES,P-234 (INJECT. ANTHELMINTIC IN SWINE) CALLED TRICHLORPHON & NEGUVON
HAMPSHIRE CHEMICAL CORP,HAMPSHIRE NTA NA3 (TRISODIUM NITRILOTRIACETATE MONOHYDRATE)
MERCK SHARP AND DOHME RESEARCH LABORATORIES DIV MERCK AND CO INC,1-METHYL-1-(B-CHLOROETHYL) ETHYLENIMONIUM PICRYSULFONATE
RT VANDERBILT CO INC,VANGARD MB (MONOBENZONE)
UPJOHN CO,"NSC-51173, (U-10955)--5A-ANDROSTAN-3-ONE,2A-FLUORO-17B-HYDROXY"
CHEMAGRO CORP,"C0-RAL--0,0 DIETHYLO-3-CHLORO-4 METHYL-2-OXO-2H-1-BENZOPYRAN-7-YL"
HOFFMANN LA ROCHE INC,LIBRIUM; TRANIMAL (VET)
"CORVEL, INC.",TYLOSIN 20MG PER CC AND NEOMYCIN 10MG PER CC (VET)
KIRKHILL RUBBER CO,KIRKHILL COMPOUND 270-A-905 AND 285-C-1156
MOORMAN MANUFACTURING CO.,RESEARCH EXPERIMENT # 1192 (VET)
MOORMAN MANUFACTURING CO.,RESEARCH EXPERIMENT # 1167 (VET)
PARKE DAVIS AND CO,CLINICAL INVESTIGATION 461
VOCATIONAL REHABILITATION SERVICES,PROCESSING--UNDER SUB-CONTRACTING ARRANGEMENTS FOR PHARMACEUT. FIRMS
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI-446
PARKE DAVIS AND CO,CLINICAL INVESTIGATION --CI 442
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI423
PARKE DAVIS AND CO,CLINICAL INVESTIGATIONS--CI 400 AND 421
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI 384
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI 344
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI-383
PARKE DAVIS AND CO,CLINICAL INVESTIGATION-- CI-395
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI-499 (BUSCOPAN)
PARKE DAVIS AND CO,CLINICAL INVESTIGATION--CI-462
COMMERCIAL SOLVENTS CORP,COMBINATION-FEED GRADE ZINC BACITRACIN & DES IN CATTLE FEEDS (VET)
HESS AND CLARK CO DIV RICHARDSON-MERRELL INC,NITROFURAZONE (VET)
CUDAHY PACKING CO,DIETHYLSTILBESTROL MIX IN-CUDAHY 3% PHOSPHORUS MIXER W/DES 0.0088%(VET
"PACIFIC NORTHWEST PRODUCTS, INC.",DIETHYLSTILBESTROL (VET)
INTERMOUNTAIN ELEVATOR CO.,DIETHYLSTILBESTROL (VET)
IMPERIAL PRE-MIX CO.,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
ALBION VETERINARY SUPPLY,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
INTERNATIONAL SPECIALTY PRODUCTS,GANTREZ AN (PVM/MA)-CHEM NAME:POLY(METHYL VINYL ETHER/MALEIC ANHYDRIDE
NORWICH PHARMACAL CO,VALSYN (FURALTADONE) WATER MIX (VET)
STERLING-WINTHROP RES INST DIV STERLING DRUG INC,"STANOZOLOL (PYRAZOLE C 14), LABELLED (VET)"
SCHERING AG,SH-714
MERCK AND CO INC,PRO-STREP CRUMBLES (VET)
"CORVEL, INC.",TYLOSIN & DIHYDROSTREPTOMYCIN (VET)
MERCK AND CO INC,AMPROL SUPER PLUS (AMPROLIUM & ETHOPABATE) (VET)
"CORVEL, INC.",TYLOSIN & NEOMYCIN USED AS AN EXPERIMENTAL PRODUCT (VET)
DOW CORNING CORP,SILICONE RUBBER DOW CORNING SILASTIC
ARIZONA MILLING CO.,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES --BEEF CATTLE FEEDS (VET)
GRAIN PROCESSING CORP,REQUEST TO MARKET EGGS OF PULLETS FED MANGANESE BACITRACIN (VET)
GRAIN PROCESSING CORP,REQUEST TO MARKET STEERS FED MANGANESE BACITRACIN (VET)
HOFFMANN LA ROCHE INC,"CLEARANCE FOR SALE OF PPOULTRY, TREATED WITH SULFADIMETHOXINE (VET)"
UNION CARBIDE CORP,UCON PROPELLANTS
AMERICAN GASKET AND RUBBER CO DIV DART INDUSTRIES INC,FORMULATION OF THE RUBBER COMPOUND USED BY RIKER LABS
GRAIN PROCESSING CORP,REQUEST TO MARKET TURKEYS FED MANGANESE BACITRACIN (VET)
LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,SULFAMETHAZINE
ADRIA LABORATORIES INC DIV ERBAMONT INC,LORAMINE SBU -185 (UNDECYLENIC ACID-MONOETHANOLAMIDE)
ALBER MILLING CO.,MFG OF DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
GEM FEED CO.,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
ORGANON INC,PREPARATION OF CORTICOSTERONE FROM HYDROCORTISONE
SALSBURY LABS,REQUEST AUTH. TO MARKET BROILERS FED NOVASTAT (VET)
ELANCO PRODS DIV ELI LILLY AND CO,"VET. INVEST. DRUGS-TYLOSIN FOR BROILER HENS,BROOD SOWS & CATTLE (VET)"
ELANCO PRODS DIV ELI LILLY AND CO,RS-1280 RESIDUALS IN LAYING CHICKENS (VET)
DOW CHEMICAL CO,ZOALENE W/ARSANILIC ACID OR SODIUM ARSANILATE IN MEDICATED FEED (VET)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ARSANILIC ACID--SODIUM ARSANILATE WITH ZOALENE (VET DMF)
MERCK AND CO INC,AMPROLIUM MEDICATED FEED -(3-NITRO-4-HYDROXYPHENYLARSONIC ACID) (VET)
ELANCO PRODS DIV ELI LILLY AND CO,CHLORMADINONE ACETATE PREMIX (VET) MADE PART OF DMF-699V
SALSBURY LABS,NOVASTAT-A FINISHED CHICKEN FEED (VET)
MERCK AND CO INC,AMPROLIUM IN CHICKENS (VET)
ER SQUIBB AND SONS INC,MYCOSTATIN -20 IN PIGS (VET)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"GALLIMYCIN (R)-10(ERYTHROMYCIN THIOCYANATE, ABBOTT)"
"CALIFORNIA CATTLE SUPPLY CO., INC.",DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
CAPITAL FEED AND SEED CO.,DIETHYLENESTILBESTROL INTERMEDIATE PREMIXES (VET)
STEPAN CO,LIPAL 9-LA (POLYOXYETHYLENE (9) LAURYL ETHER
OZARK MAHONING CO,SODIUM FLUOROSTANNITES
OWENS ILLINOIS INC,DISPOSABLE SYRINGE
SMITH KLINE & FRENCH LABS DIV SMITHKLINE BECKMAN CORP,SKF 385 TRANYLCYPROMINE (VET)
SYNTEX SA,"6a-FLUORO-16a-METHYL DELTA 1,4-PREGNADIENE-11B,17a-DIOL-3,20-DIONE"
STEPAN SPECIALTY PRODUCTS LLC,CAPTRIN
LILLY RESEARCH LABORATORIES DIV ELI LILLY AND CO,PERSONNEL FILE: REQUIREMENTS FOR TECHNICAL & PROFESSIONAL STAFF
STEPAN SPECIALTY PRODUCTS LLC,WECOBEE BASES
COLORCON INC,COLOR DISPERSIONS AND MIXED EXCIPIENTS
OHIO AGRICULTURAL EXPERIMENT STATION,HESPERIDIN IN CATTLE (VET)
NOVO NORDISK AS,"CRYSTALLINE PORCINE TYPSIN, NOVO (FOR MFG,CONTROL SEE DMF-598)"
NATIONAL CANCER INSTITUTE,DRUG DEVELOPMENT PROGRAM
PUREX LABORATORIES,DRAKEOL-ARLACEL
JOHN W. ESHELMAN,RED ROSE SUPPLEMENTS AND CONCENTRATES (VET)
ELANCO PRODS DIV ELI LILLY AND CO,TAPAZOLE AND DIETHYLSTILBESTROL FOR CATTLE (VET)
BURROUGHS WELLCOME CO,CANOPAR BRAND THENIUM CLOSYLATE (VET)
ELANCO PRODS DIV ELI LILLY AND CO,INVESTIGATIONS W/SWINE FED A COMBINATION OF TYLOSIN-STREPTOMYCIN (VET)
ELANCO PRODS DIV ELI LILLY AND CO,STREPTOMYCIN-TYLOSIN-ERYTHROMYCIN-PENICILLIN COMBIN. ALONE & W/DES(VET
OZARK MAHONING CO,STANNOUS FLUORIDE
"STATE OF UTAH, DEPT. OF FISH AND GAME",ENHEPTIN (2-AMINO-5 NITROTHIAZOLE) IN RAINBOW TROUT (VET)
LAKE AND CRUICKSHANK,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,"GALLIMYCIN-10(ERYTHROMYCIN,ABBOTT) & PRO-GEN (ARSANILIC ACID) (VET)"
ROMER AGRICULTURAL ENTERPRISES,FEEDS CONTAINING DES (VET)
PRO-VITA CO.,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
SEARLE CHEMICALS INC SUB GD SEARLE AND CO,"METRULEN,METRULEN-M,AND OVULEN --ETHYNODIOL DIACETATE"
GD SEARLE AND CO,"S N-263, A SULFATED POLYSACCHARIDE (VET)"
MOORMAN MFG. CO.,RESEARCH EXPERIMENT #946(MOORMAN'S RID-EZY MINERAL BLOCKS) (VET)
KANSAS STATE UNIV.,"POLYOXYPROPYLENE,POLYOXYETHYLENE BLOCK POLYMER;SKF&WYANDOTTE EXP. (VET"
DOW CHEMICAL CO,"ZOALENE, AMPROLIUM PLUS-COMBINATION W/ARSANILIC ACID & GALLIMYCIN (VET"
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,CURRICULUM VITAE OF ABBOTT'S THERAPEUTIC COMMITTEE
AMERICAN CYANAMID CO,APP TO EAT POULTRY TREATED W/SULFACHLOROPYRAZINE FOR COCCIDIOSIS (VET)
CAMBREX PROFARMACO MILANO SRL,CHLORDIAZEPOXIDE HYDROCHLORIDE
WITHMORE FEEDS INC,TEREPHTHALIC ACID PLUS CHLORTETRACYCLINE-INVEST. PROGRAM IN FEED (VET)
DOW CHEMICAL CO,ZOAMIX AND ERYTHROMYCIN THIOCYANATE (VET)
AJINOMOTO CO INC,L-ARGININE MONOHYDROCHLORIDE
MERCK CHEMICAL MANUFACTURING DIV MERCK CO INC,"DIETHYLSTILBESTROL TRADE NAME: RUMESTROL ""1"" AND ""2"" (VET)"
THOMPSON HAYWARD CHEMICAL CO,MFGR OF DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
MILBUR-ELLIS CO./TX,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
AMERICAN HOME PRODUCTS,INJECTABLE NOLVASAN (VET)
AMERICAN HOME PRODUCTS,TRICHLORFON IN SWINE (INJECTABLE) (VET)--ADD. CORRES. TO DMF-637
AMERICAN HOME PRODUCTS,"TENIACIDE IN DOGS, MICE AND CATS (VET)"
AMERICAN HOME PRODUCTS,RENACIDEN IN DOGS AND CATS (VET)
AMERICAN HOME PRODUCTS,DYREX INJECTABLE IN SWINE AND HORSES (VET)
ORGANON INC,PREDNISOLONE SODIUM PHOSPHATE
UPJOHN CO,PROMONE (MEDROXYPROGESTERONE ACETATE (VET)
MERCK SHARP & DOHME RESEARCH LABS,PRO-STREP IN SWINE (VET)
ALCON LABORATORIES INC,DAROIL INVESTIGATORS
PRONTO ADDRESSING AND MAILING SERVICE INC,MEDICAL ADDRESSING AMD MAILING SERVICE
IOWA STATE UNIV.,ARSANILIC ACID (VET)
NORTH CAROLINA STATE,LACTOSTAT FOR EXPERIMENTAL PURPOSES-PERMISSION TO RECIEVE (VET)
ARLIN CHEMICALS INC,MECLIZINE HCL
RM HOLLINGSHEAD CORP,QUATERNARY AMMONIUM SACCHARINATES
SOUTHWEST FLOUR AND FEED CO.,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
CONSUMERS COOPERATIVE ASSOCIATION,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES -STILBOSOL (VET)
CHAS PFIZER AND CO INC,POLYMYXIN METHANE SULFONATE FOR TREAT. OF DISEASE IN POULTRY (VET)
PARKE DAVIS AND CO,VIRAL AND BACTERIAL VACCINE
HESS AND CLARK CO DIV RICHARDSON-MERRELL INC,USE OF FURAZOLIDONE TO MEDICATE DUCKS (VET)
THE FARR COMPANY,DIETHYLSTILBESTROL INTERMEDIATE PREMIXES (VET)
CHEMAGRO CORP,BAYER 9002 (BAYER S-940) (VET)
STUART DIV ATLAS CHEM INDS INC-ORIG,"VITAMINS B-6, B-12--INTRINSIC FACTOR CONCENTRATE TABLETS"
GANES CHEMICALS INC PENNSVILLE DIV,CALCIUM PHENOBARBITAL
GEIGY PHARMACEUTICALS DIV CIBA GEIGY CORP,SPECIFICATIONS AND TEST METHODS FOR INERT INGREDS.
RHONE POULENC INC,METRONIDAZOLE
PLASTICOID CO,RUBBER FORMULATIONS
FELTON WORLDWIDE INC,FELCOFIX IMITATION WILD STRAWBERRY FLAVOR T.F. #1347
SYNTEX SA,GENERAL MASTER FILE --SPECIFICATIONS
RHODIA INC,"PROPERICIAZINE-3-CYANO-10-(3'(4""-HYDROXY PIPERIDINO PROPYL)PHENOTHIAZI"
PRECISION PACKAGING CO INC,PACKAGING FACILITIES AND CONTROLS
WILLIAM S MERRELL CO DIV RICHARDSON MERRELL INC,CONTROLS AND FACILITIES
ROBINSON WAGNER CO INC,LANOLIN DERIVATIVES
SYNTEX SA,FLUMETHASONE
SYNTEX SA,PARAMETHASONE PHOSPHATE DISODIUM SALT
COLUMBIA UNIV,MULTIDOSE JET INJECTION DEVICE --INVESTIGATIONAL USE
DOW CHEMICAL CO,DOWEX 1 X 2 RESIN --FACILS & CONTROLS
PITMAN-MOORE INC DIV DOW CHEMICAL CO,METHODS AND CONTROLS
UNETTE CORP,CUSTOM PACKAGING OF DRUG AND PHARMACEUTICAL PRODUCTS
DISTILLATION PROD INDS DIV EASTMAN KODAK CO,PINACYANOLE CHLORIDE
IOI OLEO GMBH,MIGLYOL 812 AND 810
HENKEL KG AA,EUTANOL G; SUPPOS. BASE I & II; SUPPOS. G. CETIOL & TOXAPON CS PASTE
LILLY RESEARCH LABORATORIES DIV ELI LILLY AND CO,MONITORS--CLINICAL INVESTIGATORS
SPI PHARMA INC,MANNOGEM® MANNITOL USP PRODUCTS
NATIONAL CANCER INSTITUTE,DIMETHYL SULFOXIDE
SPENCER CHEMICAL CO,POLY-ETH POLYETHYLENE RESIN 1099
DR REDDYS LABORATORIES LTD,FLUOCINOLONE ACETONIDE ACETATE
PACINI AUGUST J MD,ALOE VERA ACTIVE PRINCIPLE
MERCK CHEMICAL MANUFACTURING DIV MERCK CO INC,"MANUFACTURING AND CONTROL FACILITIES AT RAHWAY, NJ"
PHARMACHEM CORP,MFGR OF LOW MOLECULAR WEIGHT DEXTRAN POWDER
SYNTEX SA,MFGR CONTROLS-50% CHLORMADINONE ACETATE TRITURATION IN LACTOSE USP
WADLEY INSTITUTES MOLECULAR MEDICINE,INFORMATION $ METHODS
HEWITT SOAP CO INC,DETERGENT CLEANSING BAR
FIRMENICH INC,FLAVOR FORMULAS
ABBOTT LABORATORIES PHARMACEUTICAL PRODUCTS DIV,ANTIBIOTIC M-188 (MACROLIDE ANTIBIOTIC OF THE ERYTHROMYCIN GROUP)
NYSCO LABS INC,PAPAVERINE HCL-TIME RELEASE PELLETS (BULK)
NYSCO LABS INC,DEXTROMETHORPHAN HYDROBROMIDE (IN BULK TIME RELEASE PELLETIZED FORM)
